Date,Test_Positivity_Rate,New_Cases,Case_Growth_Rate,Hospitalization_Rate,ICU_Admission_Rate,Ventilator_Utilization,Mortality_Rate
14/2/2020,0,0,0,0,0,0,0
15/2/2020,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0
25/2/2020,12.5,1,0,0,0,0,0
26/2/2020,0,0,0,0,0,0,0
27/2/2020,0,0,0,0,0,0,0
28/2/2020,5.2632,1,0,0,0,0,0
29/2/2020,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0
5/3/2020,2.040816327,1,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0
7/3/2020,5.555555556,1,0,0,0,0,0
8/3/2020,16.92307692,11,0,0,0,0,0
9/3/2020,3.797468354,3,0,0,0,0,0
10/3/2020,2.45398773,4,0,0,0,0,0
11/3/2020,2.586206897,3,0,0,0,0,0
12/3/2020,5.113636364,9,0,0,0,0,0
13/3/2020,2.352941176,6,0,0,0,0,0
14/3/2020,22.03389831,104,0,0,0,0,0
15/3/2020,21.09227872,112,0,0,0,0,0
16/3/2020,11.12515803,88,0,10.67961165,0,0,0
17/3/2020,4.67404674,38,18.35748792,84.48979592,0,0,0
18/3/2020,8.598351001,73,29.55465587,15.33742331,0,0,0
19/3/2020,6.674082314,120,36.80981595,42.46575342,0,0,0
20/3/2020,4.391891892,65,29.6803653,68.92655367,0,0,0
21/3/2020,9.024979855,112,20.97378277,63.62229102,0,0,0
22/3/2020,10.68754255,157,24.30340557,74.65495609,0.7528230866,0,0
23/3/2020,7.301066448,89,11.08343711,71.67042889,0.5643340858,0,0
24/3/2020,8.13253012,108,12.10762332,58.30784913,0.5096839959,0,0
25/3/2020,7.516580693,102,10.2,53.19148936,0.4625346901,0,0
26/3/2020,7.569721116,133,12.06896552,55.28052805,0.5775577558,0,0
27/3/2020,10.01157407,173,14.00809717,52.42227043,0.5061460593,0,0
